,LegislativeBody,Name ,Link,State ,Party ,account
0,senate,"Baldwin, Tammy",https://twitter.com/SenatorBaldwin,WI,D,SenatorBaldwin
1,senate,"Barrasso, John",https://twitter.com/SenJohnBarrasso,WY,R,SenJohnBarrasso
2,senate,"Bennet, Michael F.",https://twitter.com/SenatorBennet,CO,D,SenatorBennet
3,senate,"Blackburn, Marsha",https://twitter.com/MarshaBlackburn,TN,R,MarshaBlackburn
4,senate,"Blumenthal, Richard",https://twitter.com/SenBlumenthal,CT,D,SenBlumenthal
5,senate,"Booker, Cory ",https://twitter.com/CoryBooker,NJ,D,CoryBooker
6,senate,"Boozman, John",https://twitter.com/JohnBoozman,AR,R,JohnBoozman
7,senate,"Braun, Mike",https://twitter.com/SenatorBraun,IN,R,SenatorBraun
8,senate,"Britt, Katie ",https://twitter.com/SenKatieBritt,AL,R,SenKatieBritt
9,senate,"Brown, Sherrod",https://twitter.com/SenSherrodBrown,OH,D,SenSherrodBrown
10,senate,"Budd, Ted",https://twitter.com/SenTedBuddNC,NC,R,SenTedBuddNC
11,senate,"Cantwell, Maria",https://twitter.com/SenatorCantwell,WA,D,SenatorCantwell
12,senate,"Capito, Shelley Moore",https://twitter.com/SenCapito,WV,R,SenCapito
13,senate,"Cardin, Benjamin",https://twitter.com/SenatorCardin,MD,D,SenatorCardin
14,senate,"Carper, Thomas ",https://twitter.com/SenatorCarper,DE,D,SenatorCarper
15,senate,"Casey, Robert Jr.",https://twitter.com/SenBobCasey,PA,D,SenBobCasey
16,senate,"Cassidy, Bill",https://twitter.com/SenBillCassidy,LA,R,SenBillCassidy
17,senate,"Collins, Susan ",https://twitter.com/SenatorCollins,ME,R,SenatorCollins
18,senate,"Coons, Christopher ",https://twitter.com/ChrisCoons,DE,D,ChrisCoons
19,senate,"Cornyn, John",https://twitter.com/JohnCornyn,TX,R,JohnCornyn
20,senate,"Cortez Masto, Catherine",https://twitter.com/SenCortezMasto,NV,D,SenCortezMasto
21,senate,"Cotton, Tom",https://twitter.com/SenTomCotton,AR,R,SenTomCotton
