Name ,Link,State ,Party ,LegislativeBody
"Baldwin, Tammy",https://twitter.com/SenatorBaldwin,WI,D,senate
"Barrasso, John",https://twitter.com/SenJohnBarrasso,WY,R,senate
"Bennet, Michael F.",https://twitter.com/SenatorBennet,CO,D,senate
"Blackburn, Marsha",https://twitter.com/MarshaBlackburn,TN,R,senate
"Blumenthal, Richard",https://twitter.com/SenBlumenthal,CT,D,senate
"Blunt, Roy",https://twitter.com/RoyBlunt,MO,R,senate
"Booker, Cory A.",https://twitter.com/CoryBooker,NJ,D,senate
"Boozman, John",https://twitter.com/JohnBoozman,AR,R,senate
"Braun, Mike",https://twitter.com/SenatorBraun,IN,R,senate
"Brown, Sherrod",https://twitter.com/SenSherrodBrown,OH,D,senate
"Burr, Richard",https://twitter.com/SenatorBurr,NC,R,senate
"Cantwell, Maria",https://twitter.com/SenatorCantwell,WA,D,senate
"Capito, Shelley Moore",https://twitter.com/SenCapito,WV,R,senate
"Cardin, Benjamin L.",https://twitter.com/SenatorCardin,MD,D,senate
"Carper, Thomas R.",https://twitter.com/SenatorCarper,DE,D,senate
"Casey, Robert P. Jr.",https://twitter.com/SenBobCasey,PA,D,senate
"Cassidy, Bill",https://twitter.com/SenBillCassidy,LA,R,senate
"Collins, Susan M.",https://twitter.com/SenatorCollins,ME,R,senate
"Coons, Christopher A.",https://twitter.com/ChrisCoons,DE,D,senate
"Cornyn, John",https://twitter.com/JohnCornyn,TX,R,senate
"Cortez Masto, Catherine",https://twitter.com/SenCortezMasto,NV,D,senate
"Cotton, Tom",https://twitter.com/SenTomCotton,AR,R,senate
"Cramer, Kevin",https://twitter.com/SenKevinCramer,ND,R,senate
"Crapo, Mike",https://twitter.com/MikeCrapo,ID,R,senate
"Cruz, Ted",https://twitter.com/SenTedCruz,TX,R,senate
"Daines, Steve",https://twitter.com/SteveDaines,MT,R,senate
"Duckworth, Tammy",https://twitter.com/SenDuckworth,IL,D,senate
"Durbin, Richard J.",https://twitter.com/SenatorDurbin,IL,D,senate
"Ernst, Joni",https://twitter.com/SenJoniErnst,IA,R,senate
"Feinstein, Dianne",https://twitter.com/SenFeinstein,CA,D,senate
"Fischer, Deb",https://twitter.com/SenatorFischer,NE,R,senate
"Gillibrand, Kirsten E.",https://twitter.com/SenGillibrand,NY,D,senate
"Graham, Lindsey",https://twitter.com/LindseyGrahamSC,SC,R,senate
"Grassley, Chuck",https://twitter.com/ChuckGrassley,IA,R,senate
"Hagerty, Bill",https://twitter.com/SenatorHagerty,TN,R,senate
"Hassan, Margaret Wood",https://twitter.com/SenatorHassan,NH,D,senate
"Hawley, Josh",https://twitter.com/HawleyMO,MO,R,senate
"Heinrich, Martin",https://twitter.com/MartinHeinrich,NM,D,senate
"Hickenlooper, John W.",https://twitter.com/SenatorHick,CO,D,senate
"Hirono, Mazie K.",https://twitter.com/maziehirono,HI,D,senate
"Hoeven, John",https://twitter.com/SenJohnHoeven,ND,R,senate
"Hyde-Smith, Cindy",https://twitter.com/SenHydeSmith,MS,R,senate
"Inhofe, James M.",https://twitter.com/JimInhofe,OK,R,senate
"Johnson, Ron",https://twitter.com/SenRonJohnson,WI,R,senate
"Kaine, Tim",https://twitter.com/timkaine,VA,D,senate
"Kelly, Mark",https://twitter.com/SenMarkKelly,AZ,D,senate
"Kennedy, John",https://twitter.com/SenJohnKennedy,LA,R,senate
"King, Angus S. Jr.",https://twitter.com/SenAngusKing,ME,I,senate
"Klobuchar, Amy",https://twitter.com/SenAmyKlobuchar,MN,D,senate
"Lankford, James",https://twitter.com/SenatorLankford,OK,R,senate
"Leahy, Patrick J.",https://twitter.com/SenatorLeahy,VT,D,senate
"Lee, Mike",https://twitter.com/SenMikeLee,UT,R,senate
"Luján, Ben Ray",https://twitter.com/SenatorLujan,NM,D,senate
"Lummis, Cynthia M.",https://twitter.com/SenLummis,WY,R,senate
"Manchin, Joe, III",https://twitter.com/Sen_JoeManchin,WV,D,senate
"Markey, Edward J.",https://twitter.com/SenMarkey,MA,D,senate
"Marshall, Roger",https://twitter.com/SenatorMarshall,KS,R,senate
"McConnell, Mitch",https://twitter.com/senatemajldr,KY,R,senate
"Menendez, Bob",https://twitter.com/SenatorMenendez,NJ,D,senate
"Merkley, Jeff",https://twitter.com/SenJeffMerkley,OR,D,senate
"Moran, Jerry",https://twitter.com/JerryMoran,KS,R,senate
"Murkowski, Lisa",https://twitter.com/lisamurkowski,AK,R,senate
"Murphy, Christopher",https://twitter.com/ChrisMurphyCT,CT,D,senate
"Murray, Patty",https://twitter.com/PattyMurray,WA,D,senate
"Ossoff, Jon",https://twitter.com/ossoff,GA,D,senate
"Padilla, Alex",https://twitter.com/SenAlexPadilla,CA,D,senate
"Paul, Rand",https://twitter.com/RandPaul,KY,R,senate
"Peters, Gary C.",https://twitter.com/SenGaryPeters,MI,D,senate
"Portman, Rob",https://twitter.com/senrobportman,OH,R,senate
"Reed, Jack",https://twitter.com/SenJackReed,RI,D,senate
"Risch, James E.",https://twitter.com/SenatorRisch,ID,R,senate
"Romney, Mitt",https://twitter.com/SenatorRomney,UT,R,senate
"Rosen, Jacky",https://twitter.com/SenJackyRosen,NV,D,senate
"Rounds, Mike",https://twitter.com/SenatorRounds,SD,R,senate
"Rubio, Marco",https://twitter.com/marcorubio,FL,R,senate
"Sanders, Bernard",https://twitter.com/SenSanders,VT,I,senate
"Sasse, Ben",https://twitter.com/SenSasse,NE,R,senate
"Schatz, Brian",https://twitter.com/SenBrianSchatz,HI,D,senate
"Schumer, Charles E.",https://twitter.com/SenSchumer,NY,D,senate
"Scott, Rick",https://twitter.com/SenRickScott,FL,R,senate
"Scott, Tim",https://twitter.com/SenatorTimScott,SC,R,senate
"Shaheen, Jeanne",https://twitter.com/SenatorShaheen,NH,D,senate
"Shelby, Richard C.",https://twitter.com/SenShelby,AL,R,senate
"Sinema, Kyrsten",https://twitter.com/SenatorSinema,AZ,D,senate
"Smith, Tina",https://twitter.com/SenTinaSmith,MN,D,senate
"Stabenow, Debbie",https://twitter.com/SenStabenow,MI,D,senate
"Sullivan, Dan",https://twitter.com/SenDanSullivan,AK,R,senate
"Tester, Jon",https://twitter.com/SenatorTester,MT,D,senate
"Thune, John",https://twitter.com/SenJohnThune,SD,R,senate
"Tillis, Thom",https://twitter.com/SenThomTillis,NC,R,senate
"Toomey, Patrick J.",https://twitter.com/SenToomey,PA,R,senate
"Tuberville, Tommy",https://twitter.com/SenTuberville,AL,R,senate
"Van Hollen, Chris",https://twitter.com/ChrisVanHollen,MD,D,senate
"Warner, Mark R.",https://twitter.com/MarkWarner,VA,D,senate
"Warnock, Raphael G.",https://twitter.com/SenatorWarnock,GA,D,senate
"Warren, Elizabeth",https://twitter.com/SenWarren,MA,D,senate
"Whitehouse, Sheldon",https://twitter.com/SenWhitehouse,RI,D,senate
"Wicker, Roger F.",https://twitter.com/SenatorWicker,MS,R,senate
"Wyden, Ron",https://twitter.com/RonWyden,OR,D,senate
"Young, Todd",https://twitter.com/SenToddYoung,IN,R,senate
"Adams, Alma",https://twitter.com/RepAdams,NC,D,house
"Aderholt, Robert",https://twitter.com/Robert_Aderholt,AL,R,house
"Aguilar, Pete",https://twitter.com/RepPeteAguilar,CA,D,house
"Allen, Rick",https://twitter.com/RepRickAllen,GA,R,house
"Allred, Colin",https://twitter.com/RepColinAllred,TX,D,house
"Amodei, Mark",https://twitter.com/MarkAmodeiNV2,NV,R,house
"Armstrong, Kelly",https://twitter.com/RepArmstrongND,ND,R,house
"Arrington, Jodey",https://twitter.com/RepArrington,TX,R,house
"Auchincloss, Jake",https://twitter.com/RepAuchincloss,MA,D,house
"Axne, Cindy",https://twitter.com/RepCindyAxne,IA,D,house
"Babin, Brian",https://twitter.com/RepBrianBabin,TX,R,house
"Bacon, Don",https://twitter.com/RepDonBacon,NE,R,house
"Baird, Jim",https://twitter.com/RepJimBaird,IN,R,house
"Balderson, Troy",https://twitter.com/RepBalderson,OH,R,house
"Banks, Jim",https://twitter.com/RepJimBanks,IN,R,house
"Barr, Andy",https://twitter.com/RepAndyBarr,KY,R,house
"Barragán, Nanette",https://twitter.com/RepBarragan,CA,D,house
"Bass, Karen",https://twitter.com/RepKarenBass,CA,D,house
"Beatty, Joyce",https://twitter.com/RepBeatty,OH,D,house
"Bentz, Cliff",https://twitter.com/RepBentz,OR,R,house
"Bera, Ami",https://twitter.com/RepBera,CA,D,house
"Bergman, Jack",https://twitter.com/RepJackBergman,MI,R,house
"Beyer, Don",https://twitter.com/RepDonBeyer,VA,D,house
"Bice, Stephanie I.",https://twitter.com/RepBice,OK,R,house
"Biggs, Andy",https://twitter.com/RepAndyBiggsAZ,AZ,R,house
"Bilirakis, Gus M.",https://twitter.com/RepGusBilirakis,FL,R,house
"Bishop Jr., Sanford D.",https://twitter.com/SanfordBishop,GA,D,house
"Bishop, Dan",https://twitter.com/RepDanBishop,NC,R,house
"Blumenauer, Earl",https://twitter.com/repblumenauer,OR,D,house
"Blunt Rochester, Lisa",https://twitter.com/RepLBR,DE,D,house
"Boebert, Lauren",https://twitter.com/RepBoebert,CO,R,house
"Bonamici, Suzanne",https://twitter.com/RepBonamici,OR,D,house
"Bost, Mike",https://twitter.com/RepBost,IL,R,house
"Bourdeaux, Carolyn",https://twitter.com/RepBourdeaux,GA,D,house
"Bowman, Jamaal",https://twitter.com/RepBowman,NY,D,house
"Boyle, Brendan",https://twitter.com/CongBoyle,PA,D,house
"Brady, Kevin",https://twitter.com/RepKevinBrady,TX,R,house
"Brooks, Mo",https://twitter.com/RepMoBrooks,AL,R,house
"Brown, Anthony",https://twitter.com/RepAnthonyBrown,MD,D,house
